freq,psd_x,psd_y,psd_z,psd_xyz
0.0,4.338e+02,1.919e+01,1.864e+01,4.716e+02
1.7,5.833e+02,3.330e+01,4.368e+01,6.603e+02
3.4,4.794e+02,3.723e+01,4.413e+01,5.607e+02
5.1,1.268e+03,3.851e+01,4.731e+01,1.354e+03
6.8,2.923e+03,4.463e+01,4.772e+01,3.015e+03
8.6,4.691e+03,6.248e+01,4.682e+01,4.801e+03
10.3,7.929e+03,1.180e+02,4.736e+01,8.095e+03
12.0,1.228e+04,9.684e+01,4.519e+01,1.242e+04
13.7,7.957e+03,9.080e+01,4.814e+01,8.096e+03
15.4,6.018e+03,7.390e+01,5.234e+01,6.144e+03
17.1,9.706e+03,5.892e+01,5.291e+01,9.818e+03
18.8,1.358e+04,5.434e+01,5.172e+01,1.369e+04
20.5,1.757e+04,1.299e+02,5.781e+01,1.776e+04
22.3,2.152e+04,2.765e+02,8.753e+01,2.188e+04
24.0,2.645e+04,1.859e+02,8.995e+01,2.673e+04
25.7,3.179e+04,1.415e+02,6.082e+01,3.199e+04
27.4,3.853e+04,1.300e+02,5.650e+01,3.871e+04
29.1,4.617e+04,1.305e+02,4.430e+01,4.635e+04
30.8,5.965e+04,1.819e+02,5.188e+01,5.988e+04
32.5,7.785e+04,4.496e+02,1.374e+02,7.843e+04
34.2,7.374e+04,1.064e+03,2.981e+02,7.510e+04
36.0,6.095e+04,1.406e+03,3.228e+02,6.268e+04
37.7,6.627e+04,1.674e+03,2.303e+02,6.817e+04
39.4,8.293e+04,2.130e+03,1.112e+02,8.517e+04
41.1,1.168e+05,2.736e+03,7.329e+01,1.197e+05
42.8,1.649e+05,4.534e+03,1.548e+02,1.696e+05
44.5,2.244e+05,5.339e+03,3.142e+02,2.300e+05
46.2,3.632e+05,4.625e+03,4.681e+02,3.683e+05
47.9,6.273e+05,4.528e+03,7.560e+02,6.326e+05
49.6,9.344e+05,5.427e+03,1.107e+03,9.409e+05
51.4,1.090e+06,3.785e+03,1.544e+03,1.095e+06
53.1,9.257e+05,2.113e+03,3.162e+03,9.310e+05
54.8,7.265e+05,2.510e+03,3.871e+03,7.329e+05
56.5,5.018e+05,1.669e+03,2.979e+03,5.064e+05
58.2,3.101e+05,8.631e+02,2.235e+03,3.132e+05
59.9,2.875e+05,2.369e+03,4.170e+03,2.940e+05
61.6,2.916e+05,5.032e+03,6.635e+03,3.033e+05
63.3,2.445e+05,7.309e+03,7.763e+03,2.595e+05
65.1,2.107e+05,8.251e+03,7.479e+03,2.264e+05
66.8,1.952e+05,8.097e+03,6.793e+03,2.101e+05
68.5,1.750e+05,7.727e+03,5.841e+03,1.886e+05
70.2,1.591e+05,7.560e+03,5.174e+03,1.718e+05
71.9,1.404e+05,5.917e+03,4.216e+03,1.506e+05
