freq,psd_x,psd_y,psd_z,psd_xyz
0.0,1.115e+01,2.850e+02,7.230e+01,3.684e+02
1.7,1.528e+01,1.640e+02,5.412e+01,2.334e+02
3.5,1.266e+01,7.222e+01,2.043e+01,1.053e+02
5.2,2.516e+01,7.950e+02,2.111e+01,8.412e+02
6.9,4.463e+01,1.964e+03,2.038e+01,2.029e+03
8.7,6.042e+01,3.228e+03,2.306e+01,3.312e+03
10.4,8.809e+01,5.006e+03,5.139e+01,5.146e+03
12.1,1.646e+02,6.378e+03,7.843e+01,6.621e+03
13.9,2.183e+02,8.297e+03,3.339e+01,8.548e+03
15.6,2.382e+02,1.151e+04,3.887e+01,1.178e+04
17.3,3.695e+02,1.669e+04,1.129e+02,1.718e+04
19.1,9.124e+02,2.284e+04,1.383e+02,2.390e+04
20.8,1.119e+03,2.932e+04,1.806e+02,3.062e+04
22.5,8.451e+02,3.228e+04,4.084e+02,3.353e+04
24.3,5.187e+02,2.920e+04,4.338e+02,3.015e+04
26.0,5.151e+02,3.261e+04,3.766e+02,3.351e+04
27.7,6.775e+02,5.138e+04,4.081e+02,5.246e+04
29.5,1.070e+03,8.603e+04,8.583e+02,8.796e+04
31.2,2.010e+03,1.721e+05,1.645e+03,1.758e+05
32.9,3.213e+03,3.125e+05,4.083e+03,3.198e+05
34.7,2.788e+03,2.856e+05,8.459e+03,2.968e+05
36.4,2.648e+03,2.878e+05,1.542e+04,3.059e+05
38.1,5.172e+03,3.300e+05,2.236e+04,3.575e+05
39.9,9.602e+03,3.093e+05,2.408e+04,3.430e+05
41.6,1.138e+04,2.699e+05,2.155e+04,3.028e+05
43.3,9.956e+03,2.431e+05,2.043e+04,2.735e+05
45.1,6.688e+03,2.365e+05,1.880e+04,2.619e+05
46.8,4.376e+03,2.147e+05,1.293e+04,2.320e+05
48.6,2.484e+03,1.603e+05,1.687e+04,1.797e+05
50.3,1.160e+03,1.145e+05,3.800e+04,1.536e+05
52.0,4.920e+03,8.274e+04,5.342e+04,1.411e+05
53.8,4.601e+03,5.473e+04,5.440e+04,1.137e+05
55.5,3.780e+03,3.967e+04,6.690e+04,1.103e+05
57.2,4.806e+03,3.593e+04,9.631e+04,1.370e+05
59.0,3.095e+03,3.982e+04,1.674e+05,2.103e+05
60.7,2.734e+03,4.258e+04,2.686e+05,3.139e+05
62.4,5.500e+03,4.212e+04,3.590e+05,4.067e+05
64.2,1.215e+04,4.303e+04,3.605e+05,4.157e+05
65.9,1.696e+04,4.473e+04,2.743e+05,3.359e+05
67.6,1.661e+04,4.323e+04,1.890e+05,2.488e+05
69.4,1.454e+04,3.784e+04,1.296e+05,1.820e+05
